3.1713
year,month,day,tmin,tmax,wind,rain
# Bintulu, Sarawak; 3.1713, 113.0419; 2017, 2016-2020
2016,9,21,23.2,29.7,1.583,69.34
2016,9,22,23.5,29.9,2.417,0.51
2016,9,23,22.5,29.2,1.389,11.43
2016,9,24,23.5,33.2,2,5.84
2016,9,25,23.9,32.9,2.472,0
2016,9,26,21.7,31.9,2.167,23.88
2016,9,27,23.3,32.8,2.056,10.92
2016,9,28,24,31.8,1.694,0
2016,9,29,23.6,31.8,2.361,12.95
2016,9,30,22.9,29.6,2,44.96
2016,10,1,24.5,33.8,2.306,0
2016,10,2,25.3,34,2.056,0
2016,10,3,21.8,33.8,3.028,23.11
2016,10,4,22.5,27.4,1.333,68.58
2016,10,5,23.7,33.2,1.917,1.52
2016,10,6,23.2,32.5,2.417,2.54
2016,10,7,22.6,29.3,1.806,26.92
2016,10,8,23.6,30.7,2.167,7.62
2016,10,9,22.9,30.5,1.639,13.97
2016,10,10,24.1,32.8,1.389,1.27
2016,10,11,23.9,32.8,2.778,0
2016,10,12,24.3,33.4,2.417,0
2016,10,13,23.4,34.1,2.167,0
2016,10,14,23.5,33.4,1.75,1.52
2016,10,15,24.7,34.4,2.222,0
2016,10,16,23.9,34.3,2.778,0.25
2016,10,17,23.8,32.8,2.667,0
2016,10,18,23.3,32.4,2,22.1
2016,10,19,22.9,33.3,1.444,22.61
2016,10,20,23.8,28.3,1.861,3.81
2016,10,21,23.6,32.5,2,0
2016,10,22,24.6,33.4,1.806,0
2016,10,23,23.4,30.5,2.611,21.84
2016,10,24,23.3,29.5,2.611,53.09
2016,10,25,22.8,28.9,2.722,133.1
2016,10,26,23.8,33.1,2.056,0
2016,10,27,23.6,30.7,1.75,0
2016,10,28,24.2,32,2.111,22.1
2016,10,29,23.9,31.8,1.694,0.76
2016,10,30,23.7,31.4,2.361,0
2016,10,31,23.5,29,1.083,25.65
2016,11,1,23.9,29.9,2.111,23.11
2016,11,2,22.8,27.1,2.25,17.53
2016,11,3,23.7,32.2,2,3.3
2016,11,4,24.4,31.9,1.639,0.51
2016,11,5,24.6,32.3,1.556,0
2016,11,6,25.1,30.9,1.083,0
2016,11,7,24.4,32.3,1.861,17.53
2016,11,8,24.9,32.5,2.778,0
2016,11,9,24.7,29.2,1.861,12.45
2016,11,10,23.6,31.8,2.056,15.75
2016,11,11,23.9,30.5,1.931,0
2016,11,12,24.5,32.1,1.806,14.22
2016,11,13,23.7,32.6,1.694,23.37
2016,11,14,24.2,30,2.111,2.03
2016,11,15,24.1,31.1,1.806,7.11
2016,11,16,23.8,32.4,2.472,4.32
2016,11,17,23.2,32.4,1.944,45.72
2016,11,18,24.3,32.1,1.639,14.48
2016,11,19,24.8,30.1,1.583,0
2016,11,20,24.3,32.7,1.861,7.87
2016,11,21,25.3,31.4,1.389,0
2016,11,22,25.2,31.1,1.444,12.45
2016,11,23,24.4,30.8,2.111,0
2016,11,24,24.1,31.4,2.472,4.57
2016,11,25,23.8,32.8,2.056,44.45
2016,11,26,23.9,31.7,1.944,1.02
2016,11,27,24.8,31.5,1.694,0
2016,11,28,24,31.6,1.639,1.02
2016,11,29,24.5,33.5,1.917,1.02
2016,11,30,23.9,30,2.222,92.2
2016,12,1,22.9,32.6,1.806,0
2016,12,2,23.4,32.5,2.056,44.7
2016,12,3,23.7,31,1.861,66.8
2016,12,4,23.1,31.5,2.472,2.79
2016,12,5,22.7,32.9,1.694,0.25
2016,12,6,24.5,32.8,1.917,0
2016,12,7,24.8,33.4,2.111,0
2016,12,8,24.9,30.9,2.056,0
2016,12,9,24.2,31.8,2.667,3.05
2016,12,10,23.7,31.6,3.028,1.02
2016,12,11,23,31.3,3.083,7.37
2016,12,12,22.6,30,2.889,44.96
2016,12,13,23.4,31.2,2.361,1.52
2016,12,14,24,32.5,2.25,0
2016,12,15,24.4,32.2,1.556,0
2016,12,16,23.9,32.7,2,0
2016,12,17,24.8,33.5,1.583,0
2016,12,18,25,32.6,2.167,0
2016,12,19,24.8,32.6,2,0
2016,12,20,23.7,33.1,2.361,0
2016,12,21,22.9,32.5,2.472,36.32
2016,12,22,24,32,1.694,0
2016,12,23,24.5,31,1.556,11.68
2016,12,24,24.3,31.8,1.861,1.52
2016,12,25,24.2,32,1.556,17.02
2016,12,26,25.1,32.3,1.694,14.73
2016,12,27,24.6,29.9,1.556,6.86
2016,12,28,24.7,29.7,2.528,29.72
2016,12,29,23.8,29.9,2.111,0.25
2016,12,30,23.3,32,1.917,4.32
2016,12,31,24.3,32.7,1.75,0
2017,1,1,24.4,33.3,1.5833346,9.91
2017,1,2,24.2,33,2.0555572,0
2017,1,3,23.7,31.6,1.944446,2.29
2017,1,4,23.5,32.8,2.1666684,29.21
2017,1,5,24.6,32.8,2.1111128,0.76
2017,1,6,23.8,33.7,2.1666684,0
2017,1,7,24.3,34,1.9166682,0
2017,1,8,24.4,33.7,2.1666684,0
2017,1,9,23.4,32.8,1.7500014,0
2017,1,10,24.5,32.9,1.7500014,0
2017,1,11,24.2,30.1,2.1111128,0.51
2017,1,12,23.2,32,1.8611126,5.08
2017,1,13,24.5,32.2,2.4722242,0
2017,1,14,22.9,32.8,1.9166682,0
2017,1,15,24.9,32.1,1.805557,0
2017,1,16,23.6,32.8,2.4166686,2.79
2017,1,17,23.1,32,1.9166682,3.81
2017,1,18,24.5,32.9,2.4722242,1.02
2017,1,19,23.2,32.4,2.0555572,26.16
2017,1,20,24.6,30.2,1.6944458,0
2017,1,21,22.7,31,1.8611126,110.24
2017,1,22,24.1,30,1.805557,22.35
2017,1,23,23,31.6,1.9166682,9.65
2017,1,24,22.2,31.7,2.1666684,21.08
2017,1,25,23.7,30.6,2.3055574,27.18
2017,1,26,24.3,30.7,1.2777788,5.08
2017,1,27,24.2,28.8,1.1388898,1.52
2017,1,28,24.2,31.8,2.0000016,7.37
2017,1,29,24.2,30.1,1.2777788,0
2017,1,30,24.9,30.8,2.0555572,13.72
2017,1,31,24.3,30.2,2.1111128,2.54
2017,2,1,24.3,30.2,2.1111128,0
2017,2,2,23.6,30.4,2.1666684,0
2017,2,3,23,29.5,2.1666684,19.3
2017,2,4,24.3,31.6,1.8611126,0
2017,2,5,24.5,31.5,3.1388914,0.51
2017,2,6,24.1,31,2.1666684,14.48
2017,2,7,22.6,29.9,1.7500014,34.29
2017,2,8,21,31.2,1.6388902,0
2017,2,9,21,31.6,2.2500018,0
2017,2,10,21.3,31.7,1.8611126,0
2017,2,11,23.5,31.9,1.9166682,0
2017,2,12,24,32.6,2.1111128,0
2017,2,13,24,31.8,2.1111128,0.76
2017,2,14,24.3,30.2,1.7500014,1.78
2017,2,15,24.5,29,1.6388902,11.94
2017,2,16,23.5,30.1,1.9166682,49.78
2017,2,17,23.5,30.3,1.5833346,20.32
2017,2,18,24,30.3,1.5833346,6.35
2017,2,19,24.3,31.8,2.222224,0.51
2017,2,20,23.7,31.1,1.9166682,3.56
2017,2,21,24.3,32.9,2.1666684,0
2017,2,22,23.2,31.9,2.0555572,58.93
2017,2,23,24.8,29.7,1.9166682,1.78
2017,2,24,23.4,29.8,2.361113,2.03
2017,2,25,23,30,2.0000016,55.63
2017,2,26,23.4,30,1.5000012,43.69
2017,2,27,23.6,30.4,2.1111128,0.25
2017,2,28,24.8,31.9,1.5833346,10.41
2017,3,1,23.4,31.8,2.1111128,0
2017,3,2,23.3,26.9,1.6944458,136.65
2017,3,3,23.7,31.3,2.0555572,35.05
2017,3,4,24.7,31.5,2.0000016,0
2017,3,5,24.4,31.5,2.1111128,3.56
2017,3,6,24.8,32,2.222224,0
2017,3,7,24.1,30.5,1.5833346,0
2017,3,8,23.6,26.7,1.5833346,4.32
2017,3,9,23.1,30.4,1.3333344,13.21
2017,3,10,23.6,32.2,2.0555572,0
2017,3,11,23.6,31.8,1.805557,0
2017,3,12,22.6,29.7,2.2500018,0
2017,3,13,22.5,31.9,1.5555568,44.7
2017,3,14,22.9,31.4,1.4444456,0
2017,3,15,22.1,32.8,1.944446,12.19
2017,3,16,23.5,33,1.8611126,0
2017,3,17,23.4,30.6,1.8611126,18.29
2017,3,18,23.9,32.4,2.1666684,0.25
2017,3,19,22.9,32.3,2.361113,0
2017,3,20,23.5,32.2,1.5833346,29.46
2017,3,21,22.2,26.5,1.6944458,51.82
2017,3,22,22.2,31.9,1.7500014,46.48
2017,3,23,23.9,33,2.4166686,0
2017,3,24,23.7,31.9,2.7222244,5.33
2017,3,25,22.9,29.7,1.7500014,67.06
2017,3,26,23.5,30.9,1.5833346,0
2017,3,27,23.1,32.9,1.944446,0.51
2017,3,28,24.1,32.4,1.9166682,0
2017,3,29,23.8,32.7,2.361113,17.53
2017,3,30,24,30.6,2.0000016,14.22
2017,3,31,23.6,32.1,1.944446,4.57
2017,4,1,23.7,28.4,1.5833346,0.51
2017,4,2,23.7,32.3,2.0000016,0
2017,4,3,23.1,30.8,1.8611126,22.1
2017,4,4,23.8,32.4,2.0000016,0.25
2017,4,5,23.4,31.9,2.8333356,0.51
2017,4,6,23.2,32.6,2.361113,4.83
2017,4,7,23.7,32.5,2.4722242,0
2017,4,8,24,32.5,2.1111128,0.51
2017,4,9,24.6,32.2,1.5833346,16.26
2017,4,10,25,32.4,1.7500014,0
2017,4,11,25.2,32.1,2.1111128,0
2017,4,12,24.9,33.4,2.4166686,0
2017,4,13,24.1,31.9,2.3055574,0
2017,4,14,24.3,32.4,2.0000016,6.1
2017,4,15,24.4,31.9,2.1666684,0
2017,4,16,24.1,29.7,2.2500018,0.51
2017,4,17,23.1,31.7,2.6111132,12.95
2017,4,18,23.6,32.7,1.9166682,3.3
2017,4,19,23.9,32.8,2.3055574,0
2017,4,20,23.8,30.8,1.5555568,27.94
2017,4,21,24.5,32.8,2.361113,0
2017,4,22,24.4,32.1,1.6388902,4.83
2017,4,23,24.2,32.6,1.8611126,2.54
2017,4,24,24.1,31.5,1.805557,0
2017,4,25,23.6,33,1.8611126,0
2017,4,26,24.2,33.4,2.222224,0
2017,4,27,24.1,30.9,1.9166682,4.06
2017,4,28,24.3,31.8,2.4166686,3.05
2017,4,29,23.7,29.8,2.2500018,0.25
2017,4,30,23.2,32.2,1.6388902,0.76
2017,5,1,24.2,33.2,2.1111128,0
2017,5,2,24.2,31,2.77778,11.94
2017,5,3,23.3,33.3,1.9166682,0.51
2017,5,4,23.4,32.9,2.4722242,0
2017,5,5,23.7,29,1.2777788,42.93
2017,5,6,24.3,31.9,2.1666684,0
2017,5,7,23.9,32.2,2.5833354,17.02
2017,5,8,23.6,30.8,2.1111128,7.11
2017,5,9,23.9,32.7,2.222224,0
2017,5,10,24.6,33.4,2.1666684,22.95
2017,5,11,24.3,31.8,2.3055574,45.97
2017,5,12,23.4,32.2,1.6944458,34.04
2017,5,13,24.6,32.8,2.8888912,0.51
2017,5,14,23.5,28.9,1.805557,7.11
2017,5,15,22.7,34.1,1.5555568,36.07
2017,5,16,25.1,33,2.1666684,0
2017,5,17,24.3,32.9,2.0000016,0.25
2017,5,18,24.1,33.6,1.5555568,24.89
2017,5,19,25,32.9,2.5277798,0
2017,5,20,24.6,31.8,1.9166682,7.11
2017,5,21,24.8,34,2.3055574,0
2017,5,22,24.5,33,1.38889,0
2017,5,23,23.7,30.4,1.5000012,53.09
2017,5,24,24.8,33.7,1.7500014,0.51
2017,5,25,23.7,32.8,2.0555572,4.06
2017,5,26,23.4,33.2,1.805557,18.03
2017,5,27,25.3,32.9,2.1666684,0
2017,5,28,24.4,32.1,2.0555572,0
2017,5,29,24.6,33.8,1.9166682,0.51
2017,5,30,23.2,32.6,1.4444456,1.02
2017,5,31,25.1,31.9,1.8611126,0
2017,6,1,23.5,27.9,1.944446,13.97
2017,6,2,23.8,31.7,1.6944458,13.97
2017,6,3,25,30.9,1.5000012,0
2017,6,4,22.7,33.7,2.361113,20.07
2017,6,5,23,32.9,1.7500014,0
2017,6,6,22.9,31.5,1.5555568,4.06
2017,6,7,23.9,33.5,1.8611126,0
2017,6,8,23.7,33.2,1.5555568,0.51
2017,6,9,24.7,34.1,1.5833346,0
2017,6,10,24.8,29,1.7500014,32
2017,6,11,23.7,31.2,2.3055574,31.5
2017,6,12,22.2,29.6,2.222224,2.03
